"Sr No.","Voucher Number",Name,Date,Amount
1,4943,PAPS,01-02-2014,266
2,4944,"Knowledge Academy",01-02-2014,436
3,4945,"ABHIDEV AUTOMOTIVES PVT. LTD.",01-02-2014,150
4,4946,"Pramukh Graphics",01-02-2014,75
5,4947,Swastik,01-02-2014,343
6,4948,"Knowledge Academy",01-02-2014,690
7,4949,"Right Way Print Pack",01-02-2014,1050
8,4950,"Knowledge Academy",01-02-2014,1567
9,4951,"Knowledge Academy",01-02-2014,48
10,4952,"Knowledge Academy",01-02-2014,280
11,4953,"Knowledge Academy",01-02-2014,400
12,4954,"Knowledge Academy",01-02-2014,235
13,4955,SRISTI,01-02-2014,400
14,4956,"Knowledge Academy",01-02-2014,188
15,4957,"Aakanksha Graphics",01-02-2014,0
16,4958,Swastik,01-02-2014,211
17,4959,"Safe Academy",01-02-2014,86
18,4960,Swastik,01-02-2014,297
19,4961,"Knowledge Academy",01-02-2014,155
20,4962,"Knowledge Academy",01-02-2014,43
21,4963,"Knowledge Academy",01-02-2014,400
22,4964,"Knowledge Academy",01-02-2014,80
23,4965,"Knowledge Academy",01-02-2014,617
24,4966,"Automation Systems",01-02-2014,875
25,4967,"Knowledge Academy",01-02-2014,17
